Iteracja: 0 | x1: 1 | x2: 1
Iteracja: 110 | x1: 0.906629 | x2: 0.924663
Iteracja: 111 | x1: 0.905749 | x2: 0.92398
Iteracja: 112 | x1: 0.904869 | x2: 0.923297
Iteracja: 113 | x1: 0.903988 | x2: 0.922615
Iteracja: 114 | x1: 0.903107 | x2: 0.921933
Iteracja: 115 | x1: 0.902225 | x2: 0.921251
Iteracja: 116 | x1: 0.901343 | x2: 0.920569
Iteracja: 117 | x1: 0.900461 | x2: 0.919888
Iteracja: 118 | x1: 0.899578 | x2: 0.919207
Iteracja: 119 | x1: 0.898695 | x2: 0.918526
Iteracja: 120 | x1: 0.897811 | x2: 0.917845
Iteracja: 121 | x1: 0.896927 | x2: 0.917165
Iteracja: 122 | x1: 0.896043 | x2: 0.916485
Iteracja: 123 | x1: 0.895158 | x2: 0.915805
Iteracja: 124 | x1: 0.894273 | x2: 0.915126
Iteracja: 125 | x1: 0.893387 | x2: 0.914447
Iteracja: 126 | x1: 0.892501 | x2: 0.913768
Iteracja: 127 | x1: 0.891615 | x2: 0.913089
Iteracja: 128 | x1: 0.890729 | x2: 0.912411
Iteracja: 129 | x1: 0.889842 | x2: 0.911733
Iteracja: 130 | x1: 0.888955 | x2: 0.911056
Iteracja: 131 | x1: 0.888067 | x2: 0.910379
Iteracja: 132 | x1: 0.887179 | x2: 0.909702
Iteracja: 133 | x1: 0.886291 | x2: 0.909026
Iteracja: 134 | x1: 0.885402 | x2: 0.908349
Iteracja: 135 | x1: 0.884513 | x2: 0.907674
Iteracja: 136 | x1: 0.883624 | x2: 0.906998
Iteracja: 137 | x1: 0.882734 | x2: 0.906323
Iteracja: 138 | x1: 0.881844 | x2: 0.905649
Iteracja: 139 | x1: 0.880954 | x2: 0.904975
Iteracja: 140 | x1: 0.880064 | x2: 0.904301
Iteracja: 141 | x1: 0.879173 | x2: 0.903627
Iteracja: 142 | x1: 0.878282 | x2: 0.902954
Iteracja: 143 | x1: 0.87739 | x2: 0.902282
Iteracja: 144 | x1: 0.876499 | x2: 0.90161
Iteracja: 145 | x1: 0.875607 | x2: 0.900938
Iteracja: 146 | x1: 0.874715 | x2: 0.900267
Iteracja: 147 | x1: 0.873822 | x2: 0.899596
Iteracja: 148 | x1: 0.872929 | x2: 0.898925
Iteracja: 149 | x1: 0.872036 | x2: 0.898255
Iteracja: 150 | x1: 0.871143 | x2: 0.897586
Iteracja: 151 | x1: 0.87025 | x2: 0.896917
Iteracja: 152 | x1: 0.869356 | x2: 0.896248
Iteracja: 153 | x1: 0.868462 | x2: 0.89558
Iteracja: 154 | x1: 0.867568 | x2: 0.894912
Iteracja: 155 | x1: 0.866673 | x2: 0.894245
Iteracja: 156 | x1: 0.865778 | x2: 0.893579
Iteracja: 157 | x1: 0.864883 | x2: 0.892912
Iteracja: 158 | x1: 0.863988 | x2: 0.892247
Iteracja: 159 | x1: 0.863093 | x2: 0.891582
Iteracja: 160 | x1: 0.862197 | x2: 0.890917
Iteracja: 161 | x1: 0.861302 | x2: 0.890253
Iteracja: 162 | x1: 0.860406 | x2: 0.889589
Iteracja: 163 | x1: 0.859509 | x2: 0.888926
Iteracja: 164 | x1: 0.858613 | x2: 0.888264
Iteracja: 165 | x1: 0.857717 | x2: 0.887602
Iteracja: 166 | x1: 0.85682 | x2: 0.88694
Iteracja: 167 | x1: 0.855923 | x2: 0.886279
Iteracja: 168 | x1: 0.855026 | x2: 0.885619
